X,Y,fid,CD_MUN,NM_MUN,SIGLA,AREA_KM2,DADOS_POP1_Total da populacao 2000,DADOS_POP1_Total de homens,DADOS_POP1_Total de mulheres,DADOS_POP1_Total da populacao urbana,DADOS_POP1_Total da populacao rural,DADOS_POP1_Total da populacao 2010,DADOS_POP1_densidade,icon_url
-41.7869819863364,-21.6599018938748,"72","3304805",São Fidélis,RJ,1034.833,"36789","18402","19151","29689","7864","37553","36,84",./1.png
-42.9970053529698,-22.825617993325,"73","3304904",São Gonçalo,RJ,248.16,"891119","475336","524565","999161","740","999901","4035,9",./3.png
-41.0808024038896,-21.7821931730597,"74","3305000",São João da Barra,RJ,452.396,"27682","16234","16533","25715","7052","32767","71,96",./1.png
-43.3653043803647,-22.7851483907385,"75","3305109",São João de Meriti,RJ,35.216,"449476","218391","240965","459356","0","459356","13024,56",./2.png
-41.9492645430013,-21.3708180260319,"76","3305133",São José de Ubá,RJ,249.688,"6413","3498","3505","3098","3905","7003","27,98",./1.png
-42.9325226140182,-22.1697264777873,"77","3305158",São José do Vale do Rio Preto,RJ,220.178,"19278","10147","10105","9005","11247","20252","91,87",./1.png
-42.1260672553411,-22.7883641042998,"78","3305208",São Pedro da Aldeia,RJ,332.488,"63227","43495","44518","82286","5727","88013","264,05",./1.png
-42.102242985048,-21.8833554685571,"79","3305307",São Sebastião do Alto,RJ,397.214,"8402","4474","4432","4623","4283","8906","22,35",./1.png
-42.8228168908446,-22.0241243182108,"80","3305406",Sapucaia,RJ,540.673,"17157","8763","8741","13247","4257","17504","32,35",./1.png
-42.5188386083643,-22.8781450500498,"81","3305505",Saquarema,RJ,352.13,"52461","36846","37375","70448","3773","74221","209,96",./1.png
-43.6985684015,-22.7555379582066,"82","3305554",Seropédica,RJ,265.189,"65260","38400","39783","64297","13886","78183","275,53",./1.png
-42.4133546664353,-22.5675780263807,"83","3305604",Silva Jardim,RJ,937.755,"21265","10810","10550","16126","5234","21360","22,77",./1.png
-42.6641969391967,-22.1070783215907,"84","3305703",Sumidouro,RJ,413.407,"14176","7657","7263","5458","9462","14920","37,67",./1.png
-42.7254485007631,-22.7821874327435,"85","3305752",Tanguá,RJ,143.007,"26057","15284","15447","27426","3305","30731","211,21",./1.png
-42.8733767603831,-22.3140712459773,"86","3305802",Teresópolis,RJ,773.338,"138081","78249","85556","145473","18332","163805","212,49",./0.png
-42.1549629087232,-22.1297496462913,"87","3305901",Trajano de Moraes,RJ,591.151,"10038","5260","5021","4776","5505","10281","17,44",./1.png
-43.1121515421072,-22.1247314819488,"88","3306008",Três Rios,RJ,322.843,"71976","37068","40435","75233","2270","77503","237,42",./1.png
-43.857526345232,-22.234224503879,"89","3306107",Valença,RJ,1300.767,"66308","34474","37420","62266","9628","71894","55,06",./1.png
-41.8297096661802,-20.8929265404875,"90","3306156",Varre-Sai,RJ,201.938,"7854","4778","4725","5805","3698","9503","49,85",./1.png
-43.5697298668069,-22.3585581663544,"91","3306206",Vassouras,RJ,536.073,"31451","16404","18035","23192","11247","34439","63,94",./1.png
-44.0889311143798,-22.4909232234078,"92","3306305",Volta Redonda,RJ,182.105,"242063","122977","135019","257879","117","257996","1412,75",./0.png
